episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
391,-0.6366562695377027,29.689161,0.59999996,18.834326,20.087423
392,-0.8527633399696981,14.440873,45.559128,19.944809,20.013065
393,-1.2029816408021237,0.59999996,42.0975,20.444616,19.04972
394,-0.9420774773019254,0.59999996,0.59999996,21.272846,19.618795
395,-0.9401432854462115,0.59999996,0.59999996,20.729082,18.845648
396,-0.9414453913923655,0.59999996,0.59999996,20.766588,19.642555
397,-12.514318472532402,14.3305235,45.66948,21.039331,18.457302
398,-0.5580781538282125,12.165315,0.59999996,20.998158,19.435768
399,-0.6689297827720342,33.821167,0.59999996,20.719673,19.059132
400,-2.095054726810327,0.59999996,52.04031,20.486567,18.571413
401,-2.0940935011053394,36.507267,23.492737,23.12916,19.33697
402,-0.6196624221233211,11.681135,0.59999996,26.05111,18.172022
403,-0.7816780304656223,17.465015,42.534985,26.088102,19.282711
404,-0.9457235222442524,0.59999996,0.59999996,26.215328,18.651852
405,-1.5048885390439182,0.59999996,46.655922,26.13766,19.171698
406,-0.4808986195584606,0.59999996,17.023163,26.120071,18.60291
407,-0.21431342251428445,28.943567,31.056433,26.100018,18.872782
408,-0.9540263884946558,0.59999996,0.59999996,26.068035,25.534237
409,-0.6733664287766548,43.70769,1.5366865,26.006124,25.571173
410,-0.49352227788220404,21.062649,0.59999996,25.807055,25.363163
411,-0.9539170530518266,0.59999996,0.59999996,25.994278,25.48368
412,-0.9536947563129861,0.59999996,0.59999996,25.715055,25.508688
413,-1.369449730838605,0.59453297,59.405468,25.6264,25.430971
414,-1.3319833411257207,0.59999996,58.23931,25.637062,25.236338
415,-0.9812579586514136,51.736294,0.59999996,25.80992,25.48701
416,-0.9538135129237677,0.59999996,0.59999996,25.821814,25.53589
